Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
потом, – еще стремительнее, уже почти захлебываясь, 	метнулся	 	больной, – я хотел вас попросить... мне	М. П. Арцыбашев. Палата неизлечимых (1912)	М. П. Арцыбашев	1878	Палата неизлечимых	1912	художественная	рассказ		Арцыбашев М. Собрание сочинений в трех томах. Т. 3	1994	книга	омонимия не снята	И потом, – еще стремительнее, уже почти захлебываясь, метнулся больной, – я хотел вас попросить... мне кажется, что облатки, которые вы мне прописали, мне не помогают... нельзя ли чего-нибудь, что возбуждало бы аппетит... я почти ничего не ем.
Тогда, охваченный ужасом, он 	метнулся	 	в сторону, уронил перо, черными точками	М. П. Арцыбашев. Пропасть (1912)	М. П. Арцыбашев	1878	Пропасть	1912	художественная	рассказ		Арцыбашев М. Собрание сочинений в трех томах. Т. 3	1994	книга	омонимия не снята	Тогда, охваченный ужасом, он метнулся в сторону, уронил перо, черными точками обрызнувшее бумагу, и с широко выпученными глазами, судорожно схватившись за край стола, повернулся к креслу.
Камский дико взвизгнул, 	метнулся	 	прочь и, повалив кресло, тяжко сел	М. П. Арцыбашев. Пропасть (1912)	М. П. Арцыбашев	1878	Пропасть	1912	художественная	рассказ		Арцыбашев М. Собрание сочинений в трех томах. Т. 3	1994	книга	омонимия не снята	Камский дико взвизгнул, метнулся прочь и, повалив кресло, тяжко сел на пол.
иноходец с рослой фигурой отца уже 	метнулся	 	мимо ворот, четко выбивая копытами.	А. Н. Будищев. Семибоярские (1912)	А. Н. Будищев	1867	Семибоярские	1912	художественная	рассказ		Степь грезит, [Человек-волк, Семибоярские]. Роман / Ал. Н. Будищев.-Санкт-Петербург: Освобождение, 1912.-288 с., 21 см.-(Современные русские писатели)	1912	книга	омонимия не снята	Караковый с вспененными боками иноходец с рослой фигурой отца уже метнулся мимо ворот, четко выбивая копытами.
спинку кресла, чтобы не упасть, потом 	метнулась	 	вперед, остановилась, уставилась широко раскрытыми глазами	М. Н. Волконский. Тайна герцога (1912)	М. Н. Волконский	1860	Тайна герцога	1912	художественная	роман		М. Н. Волконский. Тайна герцога: Романы	1995	книга	омонимия не снята	Она пошатнулась, схватилась за спинку кресла, чтобы не упасть, потом метнулась вперед, остановилась, уставилась широко раскрытыми глазами в лицо девушки и почти крикнула: 
мной, должно быть, испугалась меня и 	метнулась	 	в сторону.	М. Н. Волконский. Тайна герцога (1912)	М. Н. Волконский	1860	Тайна герцога	1912	художественная	роман		М. Н. Волконский. Тайна герцога: Романы	1995	книга	омонимия не снята	Она, встретившись со мной, должно быть, испугалась меня и метнулась в сторону.
сказал я и, собрав последок сил, 	метнулся	 	на шею Буланого.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	торопливо сказал я и, собрав последок сил, метнулся на шею Буланого.
Она вздрогнула, 	метнулась	 	и заржала, таща рысью соху.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Она вздрогнула, метнулась и заржала, таща рысью соху.
Человек двенадцать 	метнулись	, 	навалившись друг на друга кучей.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Человек двенадцать метнулись, навалившись друг на друга кучей.
свалилась рядом с отцом, но, вскочив, 	метнулась	 	снова, а ее опять ударили; сестра	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Ее ударили по голове, она свалилась рядом с отцом, но, вскочив, метнулась снова, а ее опять ударили; сестра опять упала.
Шавров 	метнулся	.		И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Шавров метнулся.
проронив ни слова, и лишь когда 	метнулся	 	яркий огонек костра в овраге и	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Товарищ затянул было песню, но, посмотрев на тихие, молитвенно спокойные поля и на темную полосу безоблачного неба, мягкою завесою подернувшую даль, замолк, прижавшись к теплой холке мерина, и до самого табуна, версты две-три, мы ехали, не проронив ни слова, и лишь когда метнулся яркий огонек костра в овраге и темные снующие фигуры детей вокруг него, Петя неудержимо весело, всем своим существом, засмеялся.
Мужики, как дикие, 	метнулись	 	к приводу.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Мужики, как дикие, метнулись к приводу.
испуганно 	метнулась	 	Настя.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	испуганно метнулась Настя.
От лежанки навстречу мне 	метнулась	 	Настя, простирая руки.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	От лежанки навстречу мне метнулась Настя, простирая руки.
Старик, как мальчик, 	метнулся	 	к нему.	И. Е. Вольнов. Повесть о днях моей жизни (1912)	И. Е. Вольнов	1885	Повесть о днях моей жизни	1912	художественная	повесть | цикл		И. Е. Вольнов. Повесть о днях моей жизни	1976	книга	омонимия не снята	Старик, как мальчик, метнулся к нему.
и шар ринулся вверх, но как-то 	метнулся	 	в сторону, низ корзины задел за	Вл. А. Гиляровский. Из моих воспоминаний (1912)	Вл. А. Гиляровский	1855	Из моих воспоминаний	1912	публицистика	мемуары		В. А. Гиляровский. Собрание сочинений в 4 томах. Том 2	1999	книга	омонимия не снята	Рабочие отдали веревки, и шар ринулся вверх, но как-то метнулся в сторону, низ корзины задел за трубу – к счастью, только самым краем, и все обошлось благополучно.
потерялась распыленным обрывком в глубине моря, 	метнулась	 	к гавани, обошла воздушное пространство на	А. С. Грин. Синий каскад Теллури (1912)	А. С. Грин	1880	Синий каскад Теллури	1912	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 2. Рассказы 1909-1915	1980	книга	омонимия не снята	Короткая в ракурсе полоса света, дымясь пронизанными ею испарениями, сверлила далекую отмель; затем прыгнула вверх углом к бухте, взяла направо, потерялась распыленным обрывком в глубине моря, метнулась к гавани, обошла воздушное пространство на высоте двух-трех сажен от лодки и погасла.
