Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Она 	метнулась	 	к Нюре.	Сергей Каледин. Аллея Руж // «Огонек», 2013	Сергей Каледин	1949	Аллея Руж	2013	художественная	рассказ		«Огонек»	2013	журнал	омонимия не снята	Она метнулась к Нюре.
Тень 	метнулась	 	у окошка, И взмахнули два крыла.	Анатолий Кирилин. Нулевой километр // «Сибирские огни», 2013	Анатолий Кирилин	1947	Нулевой километр	2013	художественная	повесть		«Сибирские огни»	2013	журнал	омонимия не снята	Тень метнулась у окошка, И взмахнули два крыла.
роковую ошибку: обидевшись на большевиков, он 	метнулся	 	в другую сторону и заключил договор	Николай Климонтович. Парадокс о европейце // «Октябрь», 2013	Николай Климонтович	1951	Парадокс о европейце	2013	художественная	роман		«Октябрь»	2013	журнал	омонимия не снята	Тут он совершил еще одну роковую ошибку: обидевшись на большевиков, он метнулся в другую сторону и заключил договор с Польшей, надеясь, видно, сделать их союзниками; по этому договору от Украины отрезались Галиция и Волынь.
Фарида 	метнулась	 	на завод — к Вериной маме.	Татьяна Кудрявцева. Рассказы о войне // «Бельские просторы», 2013	Татьяна Кудрявцева		Рассказы о войне	2013	художественная	рассказ | цикл		«Бельские просторы»	2013	журнал	омонимия не снята	Фарида метнулась на завод — к Вериной маме.
было в сторону дома, тотчас же 	метнулся	 	назад, споткнувшись о заборчик огородика, упал	Владимир Ланг. Калейдоскоп детства // «Ковчег», 2013	Владимир Ланг	1938	Калейдоскоп детства	2013	публицистика	мемуары		«Ковчег»	2013	журнал	омонимия не снята	По двору заметался с криком огромный огненный шар, кинулся было в сторону дома, тотчас же метнулся назад, споткнувшись о заборчик огородика, упал и затих, продолжая пылать.
там секунду и, спрыгнув на землю, 	метнулась	 	сквозь кусты на аллею мимо заброшенного	Алексей Моторов. Преступление доктора Паровозова (2013)	Алексей Моторов	1963	Преступление доктора Паровозова	2013	художественная	роман		Алексей Моторов. Преступление доктора Паровозова	2014	книга	омонимия не снята	Наконец самая смелая и смекалистая дворняга, кося на нас глазом, подошла к бортику, постояла там секунду и, спрыгнув на землю, метнулась сквозь кусты на аллею мимо заброшенного корпуса сан-гига.
Распорядительница куда-то 	метнулась	, 	через две минуты возникла и протянула	Н. В. Нестерова. Потерять сознание (2013)	Н. В. Нестерова	1950	Потерять сознание	2013	художественная	рассказ		Н. В. Нестерова. Неподходящий жених	2013	книга	омонимия не снята	Распорядительница куда-то метнулась, через две минуты возникла и протянула ему ножницы.
Красавица 	метнулась	 	и выставила на стол литровую бутыль	Алесь Пашкевич. Сим победиши // «Сибирские огни», 2013	Алесь Пашкевич	1972	Сим победиши	2013	художественная	роман		«Сибирские огни»	2013	журнал	омонимия не снята	Красавица метнулась и выставила на стол литровую бутыль коньяка местной марки «Рубин» с изображением на розово-фиолетовой этикетке едва ли не древней литовской «Погони» – всадника-витязя на коне перед развалинами будто бы Новогрудского замка, только в руке всадника вместо меча – наполненный бокал, чаша по-сербски.
Я совершил над фургоном прощальный круг, 	метнулся	 	к коричневой стене МХАТА, потом к	Виктор Пелевин. Бэтман Аполло (2013)	Виктор Пелевин	1962	Бэтман Аполло	2013	художественная	роман		В. О. Пелевин. Бэтман Аполло	2013	книга	омонимия не снята	Я совершил над фургоном прощальный круг, метнулся к коричневой стене МХАТА, потом к заснеженному асфальту, потом вверх – и оказался над зимним бульваром.
пляжа стояла развозка – два сцепленных вагончика, 	метнулись	 	туда.	Валерий Попов. Ты забыла свое крыло // «Октябрь», 2013	Валерий Попов	1939	Ты забыла свое крыло	2013	художественная	повесть		«Октябрь»	2013	журнал	омонимия не снята	К счастью, у ворот с пляжа стояла развозка – два сцепленных вагончика, метнулись туда.
правой руки, щелкнул и снова отпрыгнул, 	метнулся	 	к скрипу двери, скрипнул, дверь им	А. А. Поступинский. Бог № 264 // «Волга», 2013	А. А. Поступинский	1985	Бог № 264	2013	художественная	роман		«Волга»	2013	журнал	омонимия не снята	Скрутившись пружиной, звук отступившей ноги кинулся на щелчок пальцев правой руки, щелкнул и снова отпрыгнул, метнулся к скрипу двери, скрипнул, дверь им отворилась… – в дом был впущен Панаев Дмитрий Сергеевич, человек не в себе, человек бормочущий: 
же инстинктивно отдернул: в его сторону 	метнулись	 	белые собачьи зубы.	Виктор Ремизов. Воля вольная // «Новый мир», 2013	Виктор Ремизов	1958	Воля вольная	2013	художественная	роман		«Новый мир»	2013	журнал	омонимия не снята	Генка протянул руку и тут же инстинктивно отдернул: в его сторону метнулись белые собачьи зубы.
от вершины к комлю и вдруг 	метнулся	 	вперед с коротким яростным лаем, вцепился	Виктор Ремизов. Воля вольная // «Новый мир», 2013	Виктор Ремизов	1958	Воля вольная	2013	художественная	роман		«Новый мир»	2013	журнал	омонимия не снята	Карам, прислушиваясь, тихо бежал от вершины к комлю и вдруг метнулся вперед с коротким яростным лаем, вцепился в сетку, закрывавшую вход.
рыжая муха коснулась дна, серебристая тень 	метнулось	 	к ней, и Степан, вскочив на	Виктор Ремизов. Воля вольная // «Новый мир», 2013	Виктор Ремизов	1958	Воля вольная	2013	художественная	роман		«Новый мир»	2013	журнал	омонимия не снята	Степан стал опускать, положил на дно сначала черную, потом… как только рыжая муха коснулась дна, серебристая тень метнулось к ней, и Степан, вскочив на колени, вытянул на лед харюзка.
Тот 	метнулся	 	в небо и в стороны, опалив	Виктор Ремизов. Воля вольная // «Новый мир», 2013	Виктор Ремизов	1958	Воля вольная	2013	художественная	роман		«Новый мир»	2013	журнал	омонимия не снята	Тот метнулся в небо и в стороны, опалив лицо.
Понятно, они от Кобяка могут ехать, 	метнемся	 	быстро, если что, за полчаса эти	Виктор Ремизов. Воля вольная // «Новый мир», 2013	Виктор Ремизов	1958	Воля вольная	2013	художественная	роман		«Новый мир»	2013	журнал	омонимия не снята	Понятно, они от Кобяка могут ехать, метнемся быстро, если что, за полчаса эти никуда не денутся! 
разбудить мертвеца, вышел в коридор и 	метнулся	 	к лестнице.	Владимир Севриновский. Язык воды // «Ковчег», 2013	Владимир Севриновский	1975	Язык воды	2013	художественная	сказка		«Ковчег»	2013	журнал	омонимия не снята	Бледный переводчик на цыпочках, словно боясь разбудить мертвеца, вышел в коридор и метнулся к лестнице.
жертве, рука его в мгновенное ока 	метнулась	 	к лицу Жизни, сорвав вуаль.	Олег Селедцов. Танго с феминистками // «Ковчег», 2013	Олег Селедцов	1967	Танго с феминистками	2013	художественная	рассказ		«Ковчег»	2013	журнал	омонимия не снята	Подобно кобре, делающей смертельный рывок к жертве, рука его в мгновенное ока метнулась к лицу Жизни, сорвав вуаль.
Быстрым движением он 	метнулся	 	к обломку, схватил его и встал	Алексей Слаповский. Идея // «Октябрь», 2013	Алексей Слаповский	1957	Идея	2013	художественная	рассказ		«Октябрь»	2013	журнал	омонимия не снята	Быстрым движением он метнулся к обломку, схватил его и встал над Тихоном.
Нина 	метнулась	 	в ванную, где одна стена была	Алексей Слаповский. Ремонт // «Октябрь», 2013	Алексей Слаповский	1957	Ремонт	2013	художественная	рассказ		«Октябрь»	2013	журнал	омонимия не снята	Нина метнулась в ванную, где одна стена была полностью выложена плиткой.
Я 	метнулся	 	в Минск при первой же возможности	Леонид Хейфец. Всполохи // «Октябрь», 2013	Леонид Хейфец	1934	Всполохи	2013	публицистика	мемуары	частная жизнь	«Октябрь»	2013	журнал	омонимия не снята	Я метнулся в Минск при первой же возможности и сразу же пошел в свой дом, в свой двор.
крикнула женщина и куницею 	метнулась	 	к двери.	С. И. Шуляк. Квартира номер девять. Роман с чертовщиной // «Волга», 2013	С. И. Шуляк	1960	Квартира номер девять. Роман с чертовщиной	2013	художественная	роман		«Волга»	2013	журнал	омонимия не снята	крикнула женщина и куницею метнулась к двери.
Тут Лариса Борисовна 	метнулась	 	к шкафу, где у неё висела	С. И. Шуляк. Квартира номер девять. Роман с чертовщиной // «Волга», 2013	С. И. Шуляк	1960	Квартира номер девять. Роман с чертовщиной	2013	художественная	роман		«Волга»	2013	журнал	омонимия не снята	Тут Лариса Борисовна метнулась к шкафу, где у неё висела верхняя одежда, и в том числе несколько шуб.
Он 	метнулся	 	к комнате тётки Олюшки.	С. И. Шуляк. Квартира номер девять. Роман с чертовщиной // «Волга», 2013	С. И. Шуляк	1960	Квартира номер девять. Роман с чертовщиной	2013	художественная	роман		«Волга»	2013	журнал	омонимия не снята	Он метнулся к комнате тётки Олюшки.
Лариса Борисовна 	метнулась	 	к окну.	С. И. Шуляк. Квартира номер девять. Роман с чертовщиной // «Волга», 2013	С. И. Шуляк	1960	Квартира номер девять. Роман с чертовщиной	2013	художественная	роман		«Волга»	2013	журнал	омонимия не снята	Лариса Борисовна метнулась к окну.
	метнулся	 	к курятнику.	Маловишерская чубакабра (2013.05.26) // «Новгородские ведомости», 2013	обобщенный		Маловишерская чубакабра	2013	публицистика	заметка	природа | сельское хозяйство	«Новгородские ведомости»	2013	газета	омонимия не снята	метнулся к курятнику.
Сгорбившись по-кошачьи, девочка 	метнулась	 	мимо крыльца, чтоб ее не заметили	Инна Андреева. «Брызги шампанского» // «Ковчег», 2014	Инна Андреева		«Брызги шампанского»	2014	художественная	рассказ		«Ковчег»	2014	журнал	омонимия не снята	Сгорбившись по-кошачьи, девочка метнулась мимо крыльца, чтоб ее не заметили из окна; прижимаясь к стене, обогнула дом и взлетела по лестнице на второй этаж.
на песке аккуратную круглую лужицу, и 	метнулась	 	в дом.	Инна Андреева. «Брызги шампанского» // «Ковчег», 2014	Инна Андреева		«Брызги шампанского»	2014	художественная	рассказ		«Ковчег»	2014	журнал	омонимия не снята	Присела у крыльца, оставив на песке аккуратную круглую лужицу, и метнулась в дом.
воспитанные косички, словно спохватившись, чуть прощально 	метнулись	 	средь сгущенья-запропащенья ветвей, как бы	Валерий Володин. Неусопшее кладбище // «Волга», 2014	Валерий Володин	1956	Неусопшее кладбище	2014	художественная	рассказ		«Волга»	2014	журнал	омонимия не снята	Еще школьные и воспитанные косички, словно спохватившись, чуть прощально метнулись средь сгущенья-запропащенья ветвей, как бы подав панический жалобный знак: вовсе и не пора им ни с чем расставаться, никто ж не хотел никуда уходить, спровадив на свалку небытия изничтоженную, смятую встречу, – и она поисчезла, рас-творилась в лиственно-солнечной колыхавшейся безмятежно пропаже, в нежно, тревожно манящей и уж всевластно влекущей небывальщине этой, все старающейся сквозь замкнувшие уста годы что-то выколыхнуть из моей простодыры тщедушной, невзрачненькой – памяти (запросто ускользающей в блуждания среди трех исполинских сосен, в головокружительную высоту уносящихся мачтовых сосен забвенья), в легкость вызволить из нее нечто, будто пребывающее накануне, в зыбком преддверии, еще в небывалости избегающего меня воспоминания.
Мой кулак непроизвольно 	метнулся	 	к цели.	Ефим Гаммер. Живые зеркала // «Ковчег», 2014	Ефим Гаммер	1945	Живые зеркала	2014	художественная	роман		«Ковчег»	2014	журнал	омонимия не снята	Мой кулак непроизвольно метнулся к цели.
вскрик, и темная шелестящая шелком фигура 	метнулась	 	к дверям.	Карина Шаинян. Бог из машины (2014)	Карина Шаинян		Бог из машины	2014	художественная	рассказ		Новогодний Дозор: Лучшая фантастика 2014	2014	книга	омонимия не снята	Одним прыжком Тарасов оказался в прихожей – раздался испуганный женский вскрик, и темная шелестящая шелком фигура метнулась к дверям.
Звездолет послушно 	метнулся	 	в сторону и завис на пятикилометровой	Людмила Макарова. Жемчужный тур (2014)	Людмила Макарова		Жемчужный тур	2014	художественная	рассказ		Новогодний Дозор: Лучшая фантастика 2014	2014	книга	омонимия не снята	Звездолет послушно метнулся в сторону и завис на пятикилометровой высоте.
	Метнулся	 	вниз, к барной стойке, и по	Дина Рубина. Русская канарейка. Блудный сын (2014)	Дина Рубина	1953	Русская канарейка. Блудный сын	2014	художественная	роман		Д. И. Рубина. Русская канарейка. Блудный сын	2015	книга	омонимия не снята	Метнулся вниз, к барной стойке, и по спине его она видела, с каким увлечением он толкует о чем-то с барменом, за что-то платит и толстым красным карандашом выписывает на свеженаклеенной этикетке большой бутыли: Etinger…
уху, бормотнул пару слов и бесшумно 	метнулся	 	в сторону лестницы.	Дина Рубина. Русская канарейка. Блудный сын (2014)	Дина Рубина	1953	Русская канарейка. Блудный сын	2014	художественная	роман		Д. И. Рубина. Русская канарейка. Блудный сын	2015	книга	омонимия не снята	Пошли за бараниной Чедрика, – слегка нахмурясь, проговорил Фридрих, и громила, будто услышав его слова, возник за спиной, склонился к уху, бормотнул пару слов и бесшумно метнулся в сторону лестницы.
Но кошка 	метнулась	 	к забору, через тесную дырку пролезла	В. М. Шапко. Грузок, what is it горка and липка? // «Волга», 2014	В. М. Шапко	1938	Грузок, what is it горка and липка?	2014	художественная	повесть		«Волга»	2014	журнал	омонимия не снята	Но кошка метнулась к забору, через тесную дырку пролезла на соседний участок и запрыгала там в сухой малине.
Кошка с воплем 	метнулась	 	в дырку под забором.	В. М. Шапко. Грузок, what is it горка and липка? // «Волга», 2014	В. М. Шапко	1938	Грузок, what is it горка and липка?	2014	художественная	повесть		«Волга»	2014	журнал	омонимия не снята	Кошка с воплем метнулась в дырку под забором.
Антонина 	метнулась	, 	загородила дорогу, торопливо, испуганно говоря, что	В. М. Шапко. Один день перед поездкой в Бирск // «Волга», 2014	В. М. Шапко	1938	Один день перед поездкой в Бирск	2014	художественная	рассказ		«Волга»	2014	журнал	омонимия не снята	Антонина метнулась, загородила дорогу, торопливо, испуганно говоря, что не надо, не надо ходить, что разобраться сперва надо, разобраться, Константин!..
Впрочем, он и сам 	метнулся	 	бы за ближайший угол, если б	Сергей Шикера. Выбор натуры // «Волга», 2014	Сергей Шикера	1957	Выбор натуры	2014	художественная	роман		«Волга»	2014	журнал	омонимия не снята	Впрочем, он и сам метнулся бы за ближайший угол, если б кому-то из них вздумалось направиться к нему.
Сараев вскочил, 	метнулся	 	в совсем уже темную кухню и	Сергей Шикера. Выбор натуры // «Волга», 2014	Сергей Шикера	1957	Выбор натуры	2014	художественная	роман		«Волга»	2014	журнал	омонимия не снята	Сараев вскочил, метнулся в совсем уже темную кухню и щелкнул выключателем.
Тамара Матвеевна 	метнулась	 	было вслед за ней, но тотчас	Сергей Шикера. Выбор натуры // «Волга», 2014	Сергей Шикера	1957	Выбор натуры	2014	художественная	роман		«Волга»	2014	журнал	омонимия не снята	Тамара Матвеевна метнулась было вслед за ней, но тотчас вернулась, встала на пороге и отчаянно закричала, сначала в комнаты: 
и безлюдным, существовала высокая вероятность, что 	метнется	 	неведомо откуда быстрая тень, и непрошеный	О. А. Славникова. Прыжок в длину (2014-2016)	О. А. Славникова	1957	Прыжок в длину	2014-2016	художественная	роман		О. А. Славникова, «Прыжок в длину», «Издательство АСТ», 2017	2017	книга	омонимия не снята	Однако, каким бы ни было место преступления уединенным и безлюдным, существовала высокая вероятность, что метнется неведомо откуда быстрая тень, и непрошеный спаситель сиганет в мутный водяной пузырь, чтобы вытащить набухшую, бледную жертву, а самому, вероятней всего, утонуть.
Быстро перебирая ловкими лапками, он 	метнулся	 	туда, где прятался «свистун».	А. Г. Асмолов. Совсем неколючая сказка (2015)	А. Г. Асмолов	1953	Совсем неколючая сказка	2015	художественная	сказка		А. Г. Асмолов. Белошвейка и белоручка. Сборник сказок	2015	книга	омонимия не снята	Быстро перебирая ловкими лапками, он метнулся туда, где прятался «свистун».
полярных волков, другой, водоплав и лихач, 	метнулся	 	в полынью за уткой-подранком, до	В. П. Астафьев. Бойе (2015)	В. П. Астафьев	1924	Бойе	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	Но и дураков двух уже не стало – одного порвала проходная стайка полярных волков, другой, водоплав и лихач, метнулся в полынью за уткой-подранком, до морозов державшейся на воде, и до того себя и утку загонял, что вконец обессилел, выползти наверх не мог, и его вместе с добычей в зубах затянуло под лед.
из-под нар в снеговую круговерть, сам 	метнулся	 	следом, зверски матерясь.	В. П. Астафьев. Бойе (2015)	В. П. Астафьев	1924	Бойе	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	Старшой, услышав крик, зарычал, подпрыгнул, шапку надернул, Шабурку выбросил из-под нар в снеговую круговерть, сам метнулся следом, зверски матерясь.
У левого уха 	метнулось	 	пламя, ахнул гром, голову откинуло волной	В. П. Астафьев. Бойе (2015)	В. П. Астафьев	1924	Бойе	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	У левого уха метнулось пламя, ахнул гром, голову откинуло волной выстрела, ухо словно бы забило пыжом, ноги стрелка подогнулись, и он упал поперек лыж...
Белка, будто пушинка, подхваченная ветром, 	метнулась	 	и пошла считать деревья.	В. П. Астафьев. Васюткино озеро (2015)	В. П. Астафьев	1924	Васюткино озеро	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	Белка, будто пушинка, подхваченная ветром, метнулась и пошла считать деревья.
едва червяк коснулся воды, из-под бревна 	метнулась	 	тень, по руке ударило, я осторожно	В. П. Астафьев. Капля (2015)	В. П. Астафьев	1924	Капля	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	Осторожно спускаю леску с руки, и, едва червяк коснулся воды, из-под бревна метнулась тень, по руке ударило, я осторожно начал поднимать пружинисто бьющуюся на крючке рыбину.
за тальником, что-то грузно, с храпом 	метнулось	 	и загромыхало камнями.	В. П. Астафьев. Капля (2015)	В. П. Астафьев	1924	Капля	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	От звука ахнувшего костра совсем близко, за тальником, что-то грузно, с храпом метнулось и загромыхало камнями.
на короеда, тут же на нее 	метнулась	 	щучина.	В. П. Астафьев. Не хватает сердца (2015)	В. П. Астафьев	1924	Не хватает сердца	2015	художественная	рассказ		В. П. Астафьев. Лучшие рассказы для детей	2015	книга	омонимия не снята	Уснул с удочкой в руках, клюнула сорожина на короеда, тут же на нее метнулась щучина.
Пашка 	метнулся	 	к двери, оставив в руках Аннушки	Александр Балашов. Эротический массаж // «Ковчег», 2015	Александр Балашов	1948	Эротический массаж	2015	художественная	рассказ		«Ковчег»	2015	журнал	омонимия не снята	Пашка метнулся к двери, оставив в руках Аннушки хлястик от своего белоснежного, фатовато приталенного халата.
как на похоронах Пастернака заметил Ивинскую: «	метнулась	 	Ольга, обнял ее».	И. Н. Вирабов. Андрей Вознесенский (2015)	И. Н. Вирабов	1959	Андрей Вознесенский	2015	публицистика	монография	частная жизнь | искусство и культура	И. Н. Вирабов. Андрей Вознесенский	2015	книга	омонимия не снята	Вознесенский писал, как на похоронах Пастернака заметил Ивинскую: «метнулась Ольга, обнял ее».
с тобой, моя темная повесть… Она 	метнулась	 	к окну.	И. Н. Вирабов. Андрей Вознесенский (2015)	И. Н. Вирабов	1959	Андрей Вознесенский	2015	публицистика	монография	частная жизнь | искусство и культура	И. Н. Вирабов. Андрей Вознесенский	2015	книга	омонимия не снята	Я прощаюсь с тобой, моя темная повесть… Она метнулась к окну.
ударил кулаком по столу и снова 	метнулся	 	к окну: 	Мария Гринёва. Дом счастья // «Менестрель», 2015	Мария Гринёва		Дом счастья	2015	художественная	повесть		«Менестрель»	2015	журнал	омонимия не снята	Несчастный не успел закончить речь, как беснующийся Васильков ударил кулаком по столу и снова метнулся к окну: 
Игнатов проснулся, 	метнулся	 	за ней, глядь – а вокруг-то	Гузель Яхина. Зулейха открывает глаза (2015)	Гузель Яхина	1977	Зулейха открывает глаза	2015	художественная	роман			2015	книга	омонимия не снята	Игнатов проснулся, метнулся за ней, глядь – а вокруг-то уже, мать родная: горизонт качается, волны швыряются пеной, чайки стрелами мечутся в воздухе, матросы носятся, как кошки с подожженными хвостами.
Ждавший мать у двери Юзуф 	метнулся	 	к ней на корточках, как зверок	Гузель Яхина. Зулейха открывает глаза (2015)	Гузель Яхина	1977	Зулейха открывает глаза	2015	художественная	роман			2015	книга	омонимия не снята	Ждавший мать у двери Юзуф метнулся к ней на корточках, как зверок,  – и вдруг рухнул на пол, лежит без движения, как подстрелили.
Он не успел договорить – Зулейха уже 	метнулась	 	к керосинке, дунула на огонек и	Гузель Яхина. Зулейха открывает глаза (2015)	Гузель Яхина	1977	Зулейха открывает глаза	2015	художественная	роман			2015	книга	омонимия не снята	Он не успел договорить – Зулейха уже метнулась к керосинке, дунула на огонек и растворилась в темноте.
Девушка Валя 	метнулась	 	вырвать документ, а Катя его и	Марина Зосимкина. Ты проснешься. Книга первая (2015)	Марина Зосимкина		Ты проснешься. Книга первая	2015	художественная	роман		М. Зосимкина. Ты проснешься. Монреаль: Accent Graphics Communications	2015	книга	омонимия не снята	Девушка Валя метнулась вырвать документ, а Катя его и не держала, потому что адрес и так запомнила.
кинулся отпирать Катины замки, а Вика 	метнулась	 	к седовласой соседке и так испуганно	Марина Зосимкина. Ты проснешься. Книга первая (2015)	Марина Зосимкина		Ты проснешься. Книга первая	2015	художественная	роман		М. Зосимкина. Ты проснешься. Монреаль: Accent Graphics Communications	2015	книга	омонимия не снята	Генка извлек из кармана свои самодельные отмычки и кинулся отпирать Катины замки, а Вика метнулась к седовласой соседке и так испуганно, хватая ее за руки, просила ее войти вместе с ними в Катину квартиру, что седовласую проняло, и она согласилась.
Лепрекон судорожно допил остатки виски и 	метнулся	 	бежать.	Александр Кузнецов. Сумка лепрекона (2015)	Александр Кузнецов		Сумка лепрекона	2015	художественная	сказка		Заповедник Сказок. Избранное. Том 5	2015	книга	омонимия не снята	Лепрекон судорожно допил остатки виски и метнулся бежать.
Игорь Васильевич 	метнулся	 	внутрь дома и пропал, будто возле	А. Б. Сальников. Отдел // «Волга», 2015	А. Б. Сальников	1978	Отдел	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Игорь Васильевич метнулся внутрь дома и пропал, будто возле самого порога был открытый погреб, и он туда провалился.
разжала пальцы и, отбросив зеленую трубку, 	метнулась	 	из комнаты прочь, захлопнула ее, задвинула	Александр Снегирев. Вера (2015)	Александр Снегирев	1980	Вера	2015	художественная	роман		А. Снегирев. Вера	2015	книга	омонимия не снята	Скованная жутью, она не могла пошевелиться, потом разжала пальцы и, отбросив зеленую трубку, метнулась из комнаты прочь, захлопнула ее, задвинула икеевским стеллажом и, хлебнув «хеннеси», сколько в бутылке было, долго колотилась в ванне под струями.
от черной тучи фортепьяно и молнией 	метнулась	 	к ней.	Леонид Сторч. Вечер осенний // «Менестрель», 2015	Леонид Сторч	1963	Вечер осенний	2015	художественная	повесть		«Менестрель»	2015	журнал	омонимия не снята	Та отскочила от черной тучи фортепьяно и молнией метнулась к ней.
Он 	метнулся	 	к стене и сцапал небольшую сапёрную	Сергей Тихомиров. Колупанда (2015)	Сергей Тихомиров		Колупанда	2015	художественная	сказка		Заповедник Сказок. Избранное. Том 5	2015	книга	омонимия не снята	Он метнулся к стене и сцапал небольшую сапёрную лопату.
Макс и Рита 	метнулись	 	одновременно, налетели друг на друга неловким	Н. Б. Черных. Слабые, сильные. Часть вторая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть вторая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Макс и Рита метнулись одновременно, налетели друг на друга неловким объятием.
Аська 	метнулась	 	вслед, но потом сникла и вернулась.	Н. Б. Черных. Слабые, сильные. Часть вторая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть вторая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Аська метнулась вслед, но потом сникла и вернулась.
Левая рука осторожно приподнялась и 	метнулась	, 	как будто кто другой послал.	Н. Б. Черных. Слабые, сильные. Часть вторая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть вторая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Левая рука осторожно приподнялась и метнулась, как будто кто другой послал.
Алёна 	метнулась	 	за коньяком.	Н. Б. Черных. Слабые, сильные. Часть вторая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть вторая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Алёна метнулась за коньяком.
Аська, оттолкнула его, толкнула Машу и 	метнулась	 	к этой самой герле.	Н. Б. Черных. Слабые, сильные. Часть вторая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть вторая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Внезапно, едва не ему под локоть, влетела Аська, оттолкнула его, толкнула Машу и метнулась к этой самой герле.
Локоны 	метнулись	 	и воинственно затряслись.	Н. Б. Черных. Слабые, сильные. Часть первая // «Волга», 2015	Н. Б. Черных	1969	Слабые, сильные. Часть первая	2015	художественная	роман		«Волга»	2015	журнал	омонимия не снята	Локоны метнулись и воинственно затряслись.
этим знаменем, словно в атаку, Иван 	метнулся	 	в гараж и закрылся там на	Владимир Шалимов. Знамя Октября // «Ковчег», 2015	Владимир Шалимов		Знамя Октября	2015	художественная	рассказ		«Ковчег»	2015	журнал	омонимия не снята	С этим знаменем, словно в атаку, Иван метнулся в гараж и закрылся там на засов.
руки и за стол, – быстрее молнии 	метнулась	 	я на кухню и там, отвернув	К. В. Арутюнова. Падает снег, летит птица // «Волга», 2016	К. В. Арутюнова	1963	Падает снег, летит птица	2016	публицистика	очерк	частная жизнь	«Волга»	2016	журнал	омонимия не снята	Ну-ка, – мыть руки и за стол, – быстрее молнии метнулась я на кухню и там, отвернув кран с горячей водой, ожесточенно терла ладони бруском хозяйственного мыла, как будто пыталась смыть самое воспоминание о погребенных под грудой земли и песка свидетельствах небытия.
