Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
бродил кругами, все быстрее, и, наконец, 	рванулся	 	вскачь, встал на дыбы.	Улья Нова. Инка (2004)	Улья Нова	1976	Инка	2004	художественная	роман		Улья Нова. Инка	2004	книга	омонимия не снята	Он бродил кругами, все быстрее, и, наконец, рванулся вскачь, встал на дыбы.
Инка 	рванулась	 	за ним, через шоссе, скорей, отбросила	Улья Нова. Инка (2004)	Улья Нова	1976	Инка	2004	художественная	роман		Улья Нова. Инка	2004	книга	омонимия не снята	Инка рванулась за ним, через шоссе, скорей, отбросила аккуратное бережное хождение в толпе, отважно гребла то кролем, то брассом, локтями раздвигала препятствия в виде мужчин и женщин, при этом немыслимо вытянула шею и смотрела над головами закутанных, молчаливых и дерганных после работы служащих, стараясь не упускать из виду удаляющегося Уаскаро.
несколько важных событий: Инка, не раздумывая, 	рванулась	 	к подоконнику, вечно нецветущая лилия, извлеченная	Улья Нова. Инка (2004)	Улья Нова	1976	Инка	2004	художественная	роман		Улья Нова. Инка	2004	книга	омонимия не снята	В следующие минуты произошло несколько важных событий: Инка, не раздумывая, рванулась к подоконнику, вечно нецветущая лилия, извлеченная из горшочка, в котором мило дремала много лет, не принося пользы, отправилась в свой первый и последний полет через форточку в утреннюю прохладу.
Мавроди, поманили большими процентом, и мы 	рванулись	 	в «капиталисты» («без труда вынуть рыбку	«Futurum», или О разделении России на «мы» и «они» // «Жизнь национальностей», 2004.06.16			«Futurum», или О разделении России на «мы» и «они»	2004	публицистика	очерк	история | наука и технологии	«Жизнь национальностей»	2004.06.16	журнал	омонимия не снята	Другие, навроде Мавроди, поманили большими процентом, и мы рванулись в «капиталисты» («без труда вынуть рыбку из пруда»).
	Рванулся	 	вперед, заслонив командира и приняв град	Братство краповых беретов // «Солдат удачи», 2004.04.07			Братство краповых беретов	2004	публицистика	статья	армия и вооруженные конфликты	«Солдат удачи»	2004.04.07	журнал	омонимия не снята	Рванулся вперед, заслонив командира и приняв град пуль на себя...
Три штурмовые группы собровцев 	рванулись	 	вперед, поднимая своим примером залегших солдат.	Выжить и победить... // «Солдат удачи», 2004.05.05			Выжить и победить...	2004	публицистика	статья	армия и вооруженные конфликты	«Солдат удачи»	2004.05.05	журнал	омонимия не снята	Три штурмовые группы собровцев рванулись вперед, поднимая своим примером залегших солдат.
16 Аленичев 	рванулся	 	со своей половины поля, пытался отдать	Комментарий к футбольному матчу (2004)			Комментарий к футбольному матчу	2004	бытовая	комментарий	спорт		2004.06.16	электронный текст	омонимия не снята	16 Аленичев рванулся со своей половины поля, пытался отдать налево на Кержакова, но защитник пас прервал
Мужик 	рванулся	 	вперед, обогнал меня и у самого	Криминальный конфликт // «Боевое искусство планеты», 2004.03.11			Криминальный конфликт	2004	публицистика	статья	криминал	«Боевое искусство планеты»	2004.03.11	журнал	омонимия не снята	Мужик рванулся вперед, обогнал меня и у самого входа на эскалатор стал задом демонстративно меня оттирать.
Когда мы доехали до верха, он 	рванулся	 	вперед мимо меня, не оглядываясь (мой	Криминальный конфликт // «Боевое искусство планеты», 2004.03.11			Криминальный конфликт	2004	публицистика	статья	криминал	«Боевое искусство планеты»	2004.03.11	журнал	омонимия не снята	Когда мы доехали до верха, он рванулся вперед мимо меня, не оглядываясь (мой оппонент отказывается от эскалации; ключевую роль здесь сыграла отсрочка схватки – за это время он заново пересмотрел мое поведение с самого начала конфликта и потерял уверенность в своих силах).
Он боялся, что она дернется сейчас, 	рванется	, 	отшатнется от него, – и замер, забыв	Анна Берсенева. Возраст третьей любви (2005)	Анна Берсенева		Возраст третьей любви	2005	художественная	роман		Анна Берсенева. Возраст третьей любви	2005	книга	омонимия не снята	Он боялся, что она дернется сейчас, рванется, отшатнется от него, – и замер, забыв о танце, чувствуя только маленький вздрагивающий шрам у нее на виске, под своими губами.
и Юра едва сдержался, чтобы не 	рвануться	 	к исчезающему Жениному лицу.	Анна Берсенева. Возраст третьей любви (2005)	Анна Берсенева		Возраст третьей любви	2005	художественная	роман		Анна Берсенева. Возраст третьей любви	2005	книга	омонимия не снята	Экран погас, и Юра едва сдержался, чтобы не рвануться к исчезающему Жениному лицу.
без белков и отверстой пастью… Артем 	рванулся	, 	отводя руку в сторону, вывернулся и	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	И то, что он увидел, лишило его на миг сил и наполнило ужасом все его существо: вместо человеческого лица, пусть грубого и сурового, перед ним маячила страшная черная морда с двумя огромными темными бессмысленными глазами без белков и отверстой пастью… Артем рванулся, отводя руку в сторону, вывернулся и метнулся к выходу из палатки.
костра, и Артем, не долго думая, 	рванулся	 	туда, на свет.	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	Вдруг погас свет, и на станции стало совсем темно, только где-то вдалеке видны были слабые отсветы костра, и Артем, не долго думая, рванулся туда, на свет.
на пределе возможностей своих связок, Артем 	рванулся	 	вперед и поднялся с пола.	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	Зажав руками свои уши, как он сделал в прошлый раз, одновременно закричав на пределе возможностей своих связок, Артем рванулся вперед и поднялся с пола.
Артем 	рванулся	 	вперед, но сзади его тут же	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	Артем рванулся вперед, но сзади его тут же схватили две сильные руки, и сколько он не старался выкрутиться, все было бесполезно.
не упал на пол, когда он 	рванулся	 	вперед.	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	В этот момент у Артема все померкло перед глазами, и он ощутил в себе такую силу, что опешивший солдат, державший его сзади, чуть не упал на пол, когда он рванулся вперед.
глухой, полный ярости рев, и твари 	рванулись	 	вперед.	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	А затем раздался глухой, полный ярости рев, и твари рванулись вперед.
Артем 	рванулся	 	назад, надеясь, что залп еще можно	Дмитрий Глуховский. Метро 2033 (2005)	Дмитрий Глуховский	1979	Метро 2033	2005	художественная	роман		Д. Глуховский. Метро 2033	2005	книга	омонимия не снята	Артем рванулся назад, надеясь, что залп еще можно остановить, приказать, объяснить… Но тут же сник, понимая, что все уже произошло.
Волкодав вдруг 	рванулся	 – 	и с лаем кинулся на ребенка.	Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006	Александр Иличевский	1970	Ай-Петри	2005	художественная	повесть		«Октябрь»	2006	журнал	омонимия не снята	Волкодав вдруг рванулся – и с лаем кинулся на ребенка.
Я было 	рванулся	 	перехватить, походить за ней, как мечталось	Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006	Александр Иличевский	1970	Ай-Петри	2005	художественная	повесть		«Октябрь»	2006	журнал	омонимия не снята	Я было рванулся перехватить, походить за ней, как мечталось, – пока одна, без собаки, – скрываясь потемками, крадучись, обходя пятна фонарей теневыми сторонами; но передумал, вернулся от калитки.
Потом что-то хрустнуло, и пес затрясся, 	рванулся	, 	я опрокинулся – и, отводя руками клацающую	Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006	Александр Иличевский	1970	Ай-Петри	2005	художественная	повесть		«Октябрь»	2006	журнал	омонимия не снята	Потом что-то хрустнуло, и пес затрясся, рванулся, я опрокинулся – и, отводя руками клацающую пасть, два раза ткнул его мордой в асфальт, перекатился с ним через спину.
	Рванулся	 	со стоном, мотнул головой.	Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006	Александр Иличевский	1970	Ай-Петри	2005	художественная	повесть		«Октябрь»	2006	журнал	омонимия не снята	Рванулся со стоном, мотнул головой.
	Рванулась	 	к ней – только понюхать, глубоко вдохнуть	Нонна Мордюкова. Казачка (2005)	Нонна Мордюкова	1925	Казачка	2005	публицистика	мемуары	частная жизнь	Нонна Мордюкова. Казачка	2005	книга	омонимия не снята	Рванулась к ней – только понюхать, глубоко вдохнуть запах белой муки и всего того, что используют при изготовлении такого сказочного продукта.
Потом 	рванулась	 	и выписала еще три минуты.	Нонна Мордюкова. Казачка (2005)	Нонна Мордюкова	1925	Казачка	2005	публицистика	мемуары	частная жизнь	Нонна Мордюкова. Казачка	2005	книга	омонимия не снята	Потом рванулась и выписала еще три минуты.
же секунду, в тот же момент 	рванулся	 	к обрыву и тут же упал	Виктор Пронин. Банда 8 (2005)	Виктор Пронин	1938	Банда 8	2005	художественная	роман		В. А. Пронин. Банда 8	2005	книга	омонимия не снята	И в ту же секунду, в тот же момент рванулся к обрыву и тут же упал плашмя наземь.
вскочив со стула, 	рванулся	 	в бой Рыжий.	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман		А. В. Рубанов. «Сажайте, и вырастет»	2006	книга	омонимия не снята	вскочив со стула, рванулся в бой Рыжий.
Лучше 	рвануться	, 	рискнуть, но застраховать себя, и своих	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман		А. В. Рубанов. «Сажайте, и вырастет»	2006	книга	омонимия не снята	Лучше рвануться, рискнуть, но застраховать себя, и своих родителей, и детей от нищеты.
Я 	рванулся	 	к столу, где хранил посуду, наполнил	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман		А. В. Рубанов. «Сажайте, и вырастет»	2006	книга	омонимия не снята	Я рванулся к столу, где хранил посуду, наполнил водой кружку и опустил матово-серое жало кипятильника.
не очень представляет себе, что значит 	рвануться	 	вверх.	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман		А. В. Рубанов. «Сажайте, и вырастет»	2006	книга	омонимия не снята	Он не очень представляет себе, что значит рвануться вверх.
Я 	рванулся	, 	выхватил из морозилки пакет с кусками	Андрей Рубанов. Сажайте, и вырастет (2005)	Андрей Рубанов	1969	Сажайте, и вырастет	2005	художественная	роман		А. В. Рубанов. «Сажайте, и вырастет»	2006	книга	омонимия не снята	Я рванулся, выхватил из морозилки пакет с кусками льда.
Юрист 	рванулся	, 	но дядька по имени Славка со	Татьяна Сахарова. Добрая фея с острыми зубками (2005)	Татьяна Сахарова		Добрая фея с острыми зубками	2005	художественная	роман		Т. В. Сахарова. Добрая фея с острыми зубками	2005	книга	омонимия не снята	Юрист рванулся, но дядька по имени Славка со всего размаху дал ему в ухо и потянул обмякшее тело вниз.
Я тут же 	рванулась	 	к зеркалу и придирчиво осмотрела себя.	Елена Топильская. Помни о смерти (memento mori) (2005)	Елена Топильская	1959	Помни о смерти (memento mori)	2005	художественная	роман		Е. В. Топильская. Танцы с ментами: Авторский сборник	2005	книга	омонимия не снята	Я тут же рванулась к зеркалу и придирчиво осмотрела себя.
Я сглотнула, 	рванулась	 	было к нему, остановилась и завопила	Марина Георгадзе. Рыбка плывет – назад не отдает (2006) // «Стороны света», 2010	Марина Георгадзе	1966	Рыбка плывет – назад не отдает	2006	художественная	рассказ		«Стороны света»	2010	журнал	омонимия не снята	Я сглотнула, рванулась было к нему, остановилась и завопила так громко, как только позволяло прокуренное горло: – Без рыбок! 
За Сашей 	рванулась	 	было Верочка, с которой только что	Захар Прилепин. Санькя (2006)	Захар Прилепин	1975	Санькя	2006	художественная	роман		Захар Прилепин. Санькя	2006	книга	омонимия не снята	За Сашей рванулась было Верочка, с которой только что познакомился, но ее не пустили, оттолкнув грубовато.
	Рванулся	, 	попытался встать, свободной рукой полез в	Захар Прилепин. Санькя (2006)	Захар Прилепин	1975	Санькя	2006	художественная	роман		Захар Прилепин. Санькя	2006	книга	омонимия не снята	Рванулся, попытался встать, свободной рукой полез в кобуру – и все это молча.
Саша 	рванулся	 	в коридор, наступив на грудь человека	Захар Прилепин. Санькя (2006)	Захар Прилепин	1975	Санькя	2006	художественная	роман		Захар Прилепин. Санькя	2006	книга	омонимия не снята	Саша рванулся в коридор, наступив на грудь человека, сбитого Веней, крича: «Лежать всем!» 
Один из милиционеров все-таки 	рванулся	, 	но было поздно – остальные были уже	Захар Прилепин. Санькя (2006)	Захар Прилепин	1975	Санькя	2006	художественная	роман		Захар Прилепин. Санькя	2006	книга	омонимия не снята	Один из милиционеров все-таки рванулся, но было поздно – остальные были уже не с ним...
Безлетов 	рванулся	, 	уже освобожденный, глядя в страхе на	Захар Прилепин. Санькя (2006)	Захар Прилепин	1975	Санькя	2006	художественная	роман		Захар Прилепин. Санькя	2006	книга	омонимия не снята	Безлетов рванулся, уже освобожденный, глядя в страхе на свою руку: не простреляна ли.
Да ладно, ну, пусти,  – 	рванулся	 	он.	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	Да ладно, ну, пусти,  – рванулся он.
Он 	рванулся	 	вперед, чувствуя, что сражается с гигантским	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	Он рванулся вперед, чувствуя, что сражается с гигантским стоголовым зверем.
Семен опять 	рванулся	, 	и вот тут-то его начали бить.	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	Семен опять рванулся, и вот тут-то его начали бить.
И тогда Семен 	рванулся	 	ко второму тренеру – седовласому, с перебитым	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	И тогда Семен рванулся ко второму тренеру – седовласому, с перебитым, словно у боксера, носом.
Туда тотчас 	рванулся	 	Деку.	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	Туда тотчас рванулся Деку.
друг другу, и вновь Русский Дьявол 	рванулся	 	по свободному краю.	С. А. Самсонов. Ноги (2006)	С. А. Самсонов	1980	Ноги	2006	художественная	роман		С. А. Самсонов, «Ноги» роман, СПб.: издательство «Амфора». 2007	2007	книга	омонимия не снята	Вновь они с Роналдинью передали мяч друг другу, и вновь Русский Дьявол рванулся по свободному краю.
Она 	рванулась	.		Алексей Слаповский. Синдром Феникса // «Знамя», 2006	Алексей Слаповский	1957	Синдром Феникса	2006	художественная	роман		«Знамя»	2006	журнал	омонимия не снята	Она рванулась.
Дама взвизгнула, 	рванулась	.		Алексей Слаповский. Синдром Феникса // «Знамя», 2006	Алексей Слаповский	1957	Синдром Феникса	2006	художественная	роман		«Знамя»	2006	журнал	омонимия не снята	Дама взвизгнула, рванулась.
целым обвалом звонков телефон, и Камлаев 	рванулся	 	к нему как к просвету, как	С. А. Самсонов. Аномалия Камлаева (2006-2007)	С. А. Самсонов	1980	Аномалия Камлаева	2006-2007	художественная	роман		С. А. Самсонов, «Аномалия Камлаева»	2008	книга	омонимия не снята	В то время, как его молодые мускулы жили с такой неукротимой жадностью к всякой работе, в то время, как он ощущал себя дрожащей на сворках борзой, в то время, как планов у Матвея было громадьё, отец каким-то странным, необъяснимым образом стеснял, отягощал Камлаева, сковывал свободу ненасытной, молодой, неиссякаемым ключом бьющей жизни… Затрещал лихорадочно целым обвалом звонков телефон, и Камлаев рванулся к нему как к просвету, как к выходу… это Ленька Голубев звонил, кричал ему в трубку, что через два часа они Камлаева ждут…
Он 	рванулся	, 	как лось сквозь лесную чащу… так	С. А. Самсонов. Аномалия Камлаева (2006-2007)	С. А. Самсонов	1980	Аномалия Камлаева	2006-2007	художественная	роман		С. А. Самсонов, «Аномалия Камлаева»	2008	книга	омонимия не снята	Он рванулся, как лось сквозь лесную чащу… так куда же она подевалась, но куда бы ни подевалась, от Камлаева ушла достаточно далеко.
надрывался телефон, и Камлаев с порога 	рванулся	 	к валявшейся на диване трубке, закричал	С. А. Самсонов. Аномалия Камлаева (2006-2007)	С. А. Самсонов	1980	Аномалия Камлаева	2006-2007	художественная	роман		С. А. Самсонов, «Аномалия Камлаева»	2008	книга	омонимия не снята	В пустой квартире надрывался телефон, и Камлаев с порога рванулся к валявшейся на диване трубке, закричал «да, я слушаю», ответил, что занят, и бросил трубку обратно.
какое-то время затихала, чтобы вскоре опять 	рвануться	 	к дверям, расталкивая людей и разевая	Михаил Гиголашвили. Чертово колесо (2007)	Михаил Гиголашвили	1954	Чертово колесо	2007	художественная	роман		М. Гиголашвили. Чертово колесо	2009	книга	омонимия не снята	Ее успокаивали, говорили, что рано, но она, недоверчиво вращая глазами, на какое-то время затихала, чтобы вскоре опять рвануться к дверям, расталкивая людей и разевая в панике беззубый рот.
– 	рванулся	 	Ладо.	Михаил Гиголашвили. Чертово колесо (2007)	Михаил Гиголашвили	1954	Чертово колесо	2007	художественная	роман		М. Гиголашвили. Чертово колесо	2009	книга	омонимия не снята	рванулся Ладо.
Верьте слову… – просипел Тимофей Степанович и 	рванулся	 	ко мне.	Михаил Елизаров. Библиотекарь (2007)	Михаил Елизаров	1973	Библиотекарь	2007	художественная	роман		М. Елизаров. Библиотекарь	2008	книга	омонимия не снята	Верьте слову… – просипел Тимофей Степанович и рванулся ко мне.
Юджин 	рванулся	 	в туалет.	Николай Желунов. Рагомор (2007)	Николай Желунов		Рагомор	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Юджин рванулся в туалет.
Иван Кольцо ратовал за то, чтобы 	рвануться	 	к Искеру.	Алексей Иванов. Message: Чусовая. Части 4-5 (2007)	Алексей Иванов	1969	Message: Чусовая. Части 4-5	2007	публицистика	монография	природа | история | география			книга	омонимия не снята	Буйный атаман Иван Кольцо ратовал за то, чтобы рвануться к Искеру.
На подмогу белочехам с востока 	рванулась	 	Белая армия.	Алексей Иванов. Message: Чусовая. Части 6-7 (2007)	Алексей Иванов	1969	Message: Чусовая. Части 6-7	2007	публицистика	монография	природа | история | география			книга	омонимия не снята	На подмогу белочехам с востока рванулась Белая армия.
просторном сердце – и, задохнувшись всхлипом, он 	рванулся	 	из палатки, на четвереньках поискал в	Александр Иличевский. «Улыбнись» // «Новый Мир», 2007	Александр Иличевский	1970	«Улыбнись»	2007	художественная	рассказ		«Новый Мир»	2007	журнал	омонимия не снята	Но вот тревожное видение стало иссякать, тишина, пронизанная тоской, истончилась, нахлынула глухота, горизонт тьмы возвысился, застил даль, пустота сгустилась в просторном сердце – и, задохнувшись всхлипом, он рванулся из палатки, на четвереньках поискал в рюкзаке сигареты, жадно закурил, дрожа, размазывая слезы, стараясь отдышаться.
ладонями погладила темя – и бесслезное рыдание 	рванулось	 	вверх комком, задушило.	Александр Иличевский. «Улыбнись» // «Новый Мир», 2007	Александр Иличевский	1970	«Улыбнись»	2007	художественная	рассказ		«Новый Мир»	2007	журнал	омонимия не снята	Старуха наконец ослабла, жесткими ладонями погладила темя – и бесслезное рыдание рванулось вверх комком, задушило.
Я 	рванулся	 	вверх, уже зажженная спичка выпала из	Александр Иличевский. Горло Ушулука // «Октябрь», 2007	Александр Иличевский	1970	Горло Ушулука	2007	художественная	рассказ		«Октябрь»	2007	журнал	омонимия не снята	Я рванулся вверх, уже зажженная спичка выпала из пальцев, сено вспыхнуло.
Она 	рванулась	, 	развернувшись, ударила меня от груди по	Александр Иличевский. Горло Ушулука // «Октябрь», 2007	Александр Иличевский	1970	Горло Ушулука	2007	художественная	рассказ		«Октябрь»	2007	журнал	омонимия не снята	Она рванулась, развернувшись, ударила меня от груди по лицу.
Птица 	рванулась	, 	поднырнула под плащ, он выпутал ее	Александр Иличевский. Матисс // «Новый Мир», 2007	Александр Иличевский	1970	Матисс	2007	художественная	роман		«Новый Мир»	2007	журнал	омонимия не снята	Птица рванулась, поднырнула под плащ, он выпутал ее и, морщась от испуга, гаркнул: 
Королев 	рванулся	, 	толкнул милиционершу, побежал.	Александр Иличевский. Матисс // «Новый Мир», 2007	Александр Иличевский	1970	Матисс	2007	художественная	роман		«Новый Мир»	2007	журнал	омонимия не снята	Королев рванулся, толкнул милиционершу, побежал.
сквозь путанку колючей проволоки… Королев вдруг 	рванулся	, 	сходил к себе в котельную, вернулся	Александр Иличевский. Матисс // «Новый Мир», 2007	Александр Иличевский	1970	Матисс	2007	художественная	роман		«Новый Мир»	2007	журнал	омонимия не снята	Он долго стоял, вглядываясь в простую геометрию теней, в пушистый фонарь, резавший глаз сквозь путанку колючей проволоки… Королев вдруг рванулся, сходил к себе в котельную, вернулся с канистрой и долго тряс ее вдоль забора, поднимался на вышку – тряс там, спускался.
Чекалка пригнул башку, кувырнулся, подскочил, 	рванулся	 	еще – зачертил по песку.	Александр Иличевский. Штурм // «Новый Мир», 2007	Александр Иличевский	1970	Штурм	2007	художественная	очерк		«Новый Мир»	2007	журнал	омонимия не снята	Чекалка пригнул башку, кувырнулся, подскочил, рванулся еще – зачертил по песку.
Он в отчаянии 	рванулся	 	вперёд, но ничего нельзя уже было	Карина Шаинян. Локатор (2007)	Карина Шаинян		Локатор	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Он в отчаянии рванулся вперёд, но ничего нельзя уже было сделать.
Неожиданно он 	рванулся	 	и вцепился клешнёй в леску.	Дмитрий Колодан. Покупатель камней (2007)	Дмитрий Колодан		Покупатель камней	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Неожиданно он рванулся и вцепился клешнёй в леску.
Изо всех сил я 	рванулся	 	наверх…	Дмитрий Колодан. Покупатель камней (2007)	Дмитрий Колодан		Покупатель камней	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Изо всех сил я рванулся наверх…
Не понимая, что делает, Теодор 	рванулся	, 	но на него кто-то упал, и	Дмитрий Колодан, Карина Шаинян. Затмение (2007)	Дмитрий Колодан, Карина Шаинян		Затмение	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Не понимая, что делает, Теодор рванулся, но на него кто-то упал, и по лицу хлестнуло тёплым и липким.
Теодор 	рванулся	 	из последних сил и успел схватиться	Дмитрий Колодан, Карина Шаинян. Затмение (2007)	Дмитрий Колодан, Карина Шаинян		Затмение	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Теодор рванулся из последних сил и успел схватиться за поручень.
Теодор 	рванулся	, 	запутался в тяжёлых складках и закричал.	Дмитрий Колодан, Карина Шаинян. Затмение (2007)	Дмитрий Колодан, Карина Шаинян		Затмение	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Теодор рванулся, запутался в тяжёлых складках и закричал.
Не выдержав, Теодор 	рванулся	 	и едва успел остановиться, увидев, что	Дмитрий Колодан, Карина Шаинян. Затмение (2007)	Дмитрий Колодан, Карина Шаинян		Затмение	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Не выдержав, Теодор рванулся и едва успел остановиться, увидев, что ждёт его впереди.
время фигурка не шевелились, а затем 	рванулась	 	вперёд и свалилась с доски.	Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)	Дмитрий Колодан, Карина Шаинян		Над бездной вод	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Некоторое время фигурка не шевелились, а затем рванулась вперёд и свалилась с доски.
Остер 	рванулся	 	к борту, пытаясь увидеть, что её	Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)	Дмитрий Колодан, Карина Шаинян		Над бездной вод	2007	художественная	рассказ		Предчувствие: Антология «шестой волны»	2007	книга	омонимия не снята	Остер рванулся к борту, пытаясь увидеть, что её так напугало.
	Рванулся	 	в сторону и свалился в глубокую	Н. Ф. Королева. Другая собака // «Наука и жизнь», 2007	Н. Ф. Королева		Другая собака	2007	публицистика	рассказ	природа	«Наука и жизнь»	2007	журнал	омонимия не снята	Рванулся в сторону и свалился в глубокую канаву, заполненную водой.
Пламя с гулом 	рванулось	 	вслед.	А. А. Олейников. Велькино детство (2007)	А. А. Олейников	1977	Велькино детство	2007	художественная	повесть		Алексей Олейников. Велькино детство	2009	книга	омонимия не снята	Пламя с гулом рванулось вслед.
деревья понеслись, закручиваясь назад, а земля 	рванулась	 	навстречу, распадаясь на стебли, листья, травинки	А. А. Олейников. Велькино детство (2007)	А. А. Олейников	1977	Велькино детство	2007	художественная	повесть		Алексей Олейников. Велькино детство	2009	книга	омонимия не снята	Потом раздался страшный треск, небо и деревья понеслись, закручиваясь назад, а земля рванулась навстречу, распадаясь на стебли, листья, травинки, камешки, песчинки, заполняя все-все кругом, а потом Велька пребольно стукнулся макушкой, и наступила темнота.
дико, по-звериному, заплакал, и автобус 	рванулся	 	вперед, прыгнул…	Александр Сокуров. Александра (2007)	Александр Сокуров	1951	Александра	2007	художественная	сценарий		Александр Сокуров. В центре океана	2012	книга	омонимия не снята	Водитель автобуса страшно закричал, как-то дико, по-звериному, заплакал, и автобус рванулся вперед, прыгнул…
