Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
потом быстро отвернулась, стегнула лошадь, та 	рванулась	 	вперед и в два прыжка исчезла	И. А. Гончаров. Обыкновенная история (1847)	И. А. Гончаров	1812	Обыкновенная история	1847	художественная	роман		И. А. Гончаров. Обыкновенная история	1987	книга	омонимия не снята	Наденька проворно откинула вуаль от лица, обернулась и посмотрела на него с испугом, открыв немного ротик, потом быстро отвернулась, стегнула лошадь, та рванулась вперед и в два прыжка исчезла за воротами; за нею пустился граф.
выход казался невероятным, она неожиданно остановилась, 	рванулась	 	вперед и закричала хриплым своим голосом: 	Д. В. Григорович. Антон-горемыка (1847)	Д. В. Григорович	1822	Антон-горемыка	1847	художественная	повесть		Д. В. Григорович. Повести и очерки	1983	книга	омонимия не снята	Затесавшись наконец вместе с Антоном в густую чащу кустарников, из которой выход казался невероятным, она неожиданно остановилась, рванулась вперед и закричала хриплым своим голосом: 
вида; тогда, в неестественном усилии, он 	рванулся	 	вперед и вышел из церкви.	Ф. М. Достоевский. Хозяйка (1847)	Ф. М. Достоевский	1821	Хозяйка	1847	художественная	повесть		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Наконец, он потерял их в темноте из вида; тогда, в неестественном усилии, он рванулся вперед и вышел из церкви.
И с этим словом майор 	рванулся	, 	шинель осталась в руках Ивана и	А. Ф. Вельтман. Приключения, почерпнутые из моря житейского. Саломея (1848)	А. Ф. Вельтман	1800	Приключения, почерпнутые из моря житейского. Саломея	1848	художественная	роман		Вельтман А. Ф. Приключения, почерпнутые из моря житейского	1957	книга	омонимия не снята	И с этим словом майор рванулся, шинель осталась в руках Ивана и двух прислужников, а он в двери и исчез.
тихонько отшпилить, чтобы жилец не видал, – 	рванулась	 	так, что бабушкино кресло поехало.	Ф. М. Достоевский. Белые ночи (1848)	Ф. М. Достоевский	1821	Белые ночи	1848	художественная	повесть		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Я тотчас же вскочила, вся, не знаю отчего, покраснела, да и позабыла, что сижу пришпиленная; нет, чтоб тихонько отшпилить, чтобы жилец не видал, – рванулась так, что бабушкино кресло поехало.
сделал легкое движение, как будто собирался 	рвануться	 	с места.	Ф. М. Достоевский. Неточка Незванова (1849)	Ф. М. Достоевский	1821	Неточка Незванова	1849	художественная	роман		Большая хрестоматия. Русская литература XIX века	2003	книга	омонимия не снята	Фальстаф поднял голову, оскалил зубы, слегка заворчал и сделал легкое движение, как будто собирался рвануться с места.
Давыд 	рванулся	 	с постели.	И. С. Тургенев. Часы (1850)	И. С. Тургенев	1818	Часы	1850	художественная	рассказ		И. С. Тургенев. Полное собрание сочинений и писем в 30 т. 2-е изд.	1979	книга	омонимия не снята	Давыд рванулся с постели.
Кони 	рванулись	 	грудью и понесли, как скорлупу, легкую	П. П. Ершов. Осенние вечера. Рассказы от скуки. (1850-1856)	П. П. Ершов	1815	Осенние вечера. Рассказы от скуки.	1850-1856	художественная	повесть		“Живописный сборник замечательных предметов из наук, искусства, промышленности и общежития”. Издание А. Плюшара и В. Генкеля. Вып. 1. Спб., 1857 г. Стр. 198 – 206. Ершов П. П. “Сузге”, стихотворения, драматические произведения, проза, письма, под ре	1984	книга	омонимия не снята	Кони рванулись грудью и понесли, как скорлупу, легкую тележку.
нарты, темляк вырвался из рук, собаки 	рванулись	 	за оленем и убежали с нартою	cвященник Андрей Аргентов. Выписки из путевого журнала ... веденного ... во время поездки по Чукотской земле (1851)	cвященник Андрей Аргентов	1816	Выписки из путевого журнала ... веденного ... во время поездки по Чукотской земле	1851	публицистика	дневник, записные книжки	путешествия | этнография	Страны и народы Востока. Вып. 2. М., Изд-во Восточная литература, 1961	1961	прочая печатная продукция	омонимия не снята	Наконец, к совершенному моему несчастью, спускаясь по кочковатому косогору, я никак не мог управиться, при падении меня выбило из нарты, темляк вырвался из рук, собаки рванулись за оленем и убежали с нартою, оставив меня одного, разбитого и обессиленного.
выдержал Архип, в три ручья залился, 	рванулся	 	от меня и барину в ноги	А. И. Герцен. Поврежденный (1851)	А. И. Герцен	1812	Поврежденный	1851	художественная	повесть		А. И. Герцен. Сочинения в 9 томах. Том 1	1955	книга	омонимия не снята	Не выдержал Архип, в три ручья залился, рванулся от меня и барину в ноги: «Виноват, говорит, кругом виноват и запираться не намерен.
Вдруг Жиран завыл и 	рванулся	 	с такой силой, что я чуть	Л. Н. Толстой. Детство (1852)	Л. Н. Толстой	1828	Детство	1852	художественная	повесть		Л. Н. Толстой. Собрание сочинений	1958	книга	омонимия не снята	Вдруг Жиран завыл и рванулся с такой силой, что я чуть было не упал.
Я 	рванулся	 	и грубо оттолкнулъ Кьяру; негодованіе вновь	Ф. М. Толстой. Три возраста (1853)	Ф. М. Толстой	1809	Три возраста	1853	художественная	повесть		Ф. М. Толстой. Три возраста. Санкт-Петербург. Издатель, книгопродавец В. Исаков, на Невском проспекте, против Католической церкви, в дом Кудряшева. 1855	1855	книга	омонимия не снята	Я рванулся и грубо оттолкнулъ Кьяру; негодованіе вновь и съ большею силою овладѣло мною.
за тѣмъ какъ-будто фонтанъ кипятку 	рванулся	 	отъ моего сердца къ моему горлу	А. В. Дружинин. Заметки и увеселительные очерки петербургского туриста (1854)	А. В. Дружинин	1824	Заметки и увеселительные очерки петербургского туриста	1854	публицистика	фельетон	частная жизнь	Собраніе сочиненій А. В. Дружинина. Томъ восьмой	1867	книга	омонимия не снята	Кажется мнѣ, что передъ глазами моими вспыхнулъ какой-то столбъ зеленаго пламени, что вслѣдъ за тѣмъ какъ-будто фонтанъ кипятку рванулся отъ моего сердца къ моему горлу, что было за тѣмъ, совершенно не знаю.
При этой мысли она 	рванулась	, 	как разъяренная львица, к постели своей	Е. П. Ростопчина. Палаццо Форли (1854)	Е. П. Ростопчина	1811	Палаццо Форли	1854	художественная	роман		Е. П. Ростопчина. Счастливая женщина. Литературные сочинения	1991	книга	омонимия не снята	При этой мысли она рванулась, как разъяренная львица, к постели своей, разом кинулась из нее.
камина, слышать, как вдруг пронзительный ветер 	рванется	 	в двойные рамы, стукнет ставнем и	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Конечно, всякому из вас, друзья мои, случалось, сидя в осенний вечер дома, под надежной кровлей, за чайным столом или у камина, слышать, как вдруг пронзительный ветер рванется в двойные рамы, стукнет ставнем и иногда сорвет его с петель, завоет, как зверь, пронзительно и зловеще в трубу, потрясая вьюшками; как кто-нибудь вздрогнет, побледнеет, обменяется с другими безмолвным взглядом или скажет: «Что теперь делается в поле? 
Они 	рванулись	, 	понеслись, домчались до средины; тут крен	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Они рванулись, понеслись, домчались до средины; тут крен был так крут, что они скакнули уже по воздуху, сбили столик перед диваном и, изломав его, изломавшись сами, с треском упали все на диван.
Петухи 	рванулись	 – 	и через минуту большой красный петух	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Петухи рванулись – и через минуту большой красный петух разорвал шпорами ноги серому, так что тот упал на спину, а ноги протянул кверху.
Матрос нанес другой удар: она сильно 	рванулась	 	вперед; он ударил в третий раз	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Матрос нанес другой удар: она сильно рванулась вперед; он ударил в третий раз: она рванулась еще, но слабее.
он ударил в третий раз: она 	рванулась	 	еще, но слабее.	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Матрос нанес другой удар: она сильно рванулась вперед; он ударил в третий раз: она рванулась еще, но слабее.
зажурчали под ногами лошадей, вдруг Тимофей 	рванулся	 	вперед и понесся в гору впереди	И. А. Гончаров. Фрегат «Паллада» (1855)	И. А. Гончаров	1812	Фрегат «Паллада»	1855	художественная	очерк | цикл		И. А. Гончаров. Фрегат «Паллада»	1986	книга	омонимия не снята	Только что тронулся на крутизну наш караван и каменья зажурчали под ногами лошадей, вдруг Тимофей рванулся вперед и понесся в гору впереди всех.
